"Name";"RegisteredAddress";"Type";"Date";"Year";"Province";"City";"District";"Industry";"InsuredNum";"InsuredDivision";"RegisteredCaptital";"CaptitalDivision";"Status";"FormerName";"CommunicationAddress";"TaxpayerID";"RegisterationID";"OrganizationID";"Introduction";"BusinessScope";"ListedorNot";"ListingType";"Abbreviation";"StockCode";"Products"
"北京东土科技股份有限公司";"北京市石景山区实兴大街30号院2号楼8层901";"其他股份有限公司（上市）";"2000-03-27 00:00:00";2000.0;"北京市";"北京市";"石景山区";"计算机、通信和其他电子设备制造业";"394";"大于等于1百，小于5百";"61489.2881万元人民币";"一亿（含）至五十亿";"存续";"-";"北京市石景山区实兴大街30号院西山汇2号楼9层";"911100007226014149";"110000001251761";"72260141-4";"北京东土科技股份有限公司，创业板上市企业（股票代码300353），是中国唯一专注于工业互联网技术及产业的上市公司，致力于中国工业互联网平台技术的研究，用工业互联网技术创新各行业解决方案，应用于智慧工业、智慧城市、智慧军事、智慧能源四大领域，并在四大领域做到“自主可控、技术超越”。东土科技公司是中关村工业互联网产业联盟理事长单位，是北京国科工业互联网研究院核心发起单位，是中国工业互联网核心标准的主要起草单位；先后参与和承担了三项工业自动化信息领域国际标准（IEC61158、IEC62439、IEEE C37.238），主导起草了国家标准GB/T 30094 工业以太网交换机技术规范，获得国家六项核高基专项，承担了三项国家863课题。东土科技公司的主要产品有芯片（通信、安全、总线、SDR自主网、动态加密）、工业服务器、交通服务器、边缘服务器、工业互联网操作系统/云平台、精密时钟产品、工业通信网络产品、作战指挥系统、战术互联网产品、战术通信终端等产品。东土科技公司作为中国工业互联网技术创新领导者、国际工业控制技术变革者，致力于网络化工业控制整体解决方案的研究实践，以建立互联网化的新一代工业控制体系为发展使命，主要研究方向为工业以太网通信技术、基于IPV6的宽带实时现场总线技术、基于网络控制的现场控制器技术、基于云控制的工业服务器技术以及适应网络化控制的精密时钟技术、控制数据安全可信等技术。东土科技工业互联网平台产品已广泛应用于智能电网、核电、风电、太阳能、石油化工、轨道交通、城市管廊、矿山、冶金、水务、智能交通、船舶等行业的国家重点工程和全球项目，产品获得了KEMA、CE/FCC、UL508、Class I Div 2、DNV等多项国际认证。东土科技公司高度重视客户服务和质量保证，提供专业售前和售后的技术支持；根据不同客户的不同需求，提供最佳的整体解决方案和专业技术培训；售后服务提供7×24小时的电话支持，及时响应用户现场需求；公司产品提供一年保换、五年保修的承诺。东土科技―中国工业互联网技术创新领导者、国际工业控制技术变革者。";"生产电子产品;技术开发、技术转让、技术推广、技术服务;计算机系统服务、计算机图文设计、制作;销售计算机、软件及辅助设备、电子产品;货物进出口、技术进出口、代理进出口;组织文化艺术交流活动（演出除外）;承办展览展示活动;经济信息咨询;集成电路布图设计代理服务。（市场主体依法自主选择经营项目,开展经营活动;依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动;不得从事国家和本市产业政策禁止和限制类项目的经营活动。）";"是";"A股";"东土科技";"300353.SZ";"工业互联网平台产品；智慧城市产品；能源互联网产品"
"北京富吉瑞光电科技股份有限公司";"北京市顺义区空港融慧园25号楼1至5层25-4";"股份有限公司（上市、自然人投资或控股）";"2011-01-20 00:00:00";2011.0;"北京市";"北京市";"顺义区";"计算机、通信和其他电子设备制造业";"161";"大于等于1百，小于5百";"7600万元人民币";"五千万（含）至一亿";"存续";"北京富吉瑞光电科技有限公司";"北京市顺义区空港融慧园25号楼1至5层25-4";"911101085674051211";"110108013541015";"56740512-1";"北京富吉瑞光电科技股份有限公司是一家主要从事红外热成像产品和系统的研发、生产和销售,并为客户提供解决方案的高新技术企业。公司以红外热成像技术为基础,以图像处理为核心,逐步向固态微光、短波、紫外、可见光等方向拓展。公司的产品应用于军用和民用领域。在军用领域主要应用于通用军械、单兵、地面装备、空中装备和水上装备等;在民用领域主要应用于工业测温、气体检测、石油化工、电力检测、安防监控、医疗检疫和消防应急等。";"一般项目:技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;货物进出口;技术进出口;进出口代理;光电子器件制造;电子产品销售;光学仪器制造;电池制造;仪器仪表制造;电气信号设备装置制造;实验分析仪器制造;电子专用设备制造;集成电路设计;集成电路芯片及产品制造;电子元器件制造;半导体器件专用设备制造;电子专用材料制造。（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）";"是";"科创板";"ST富吉";"688272";"制冷热成像仪；工业检测；光电系统；非制冷机芯"
"北京格灵深瞳信息技术股份有限公司";"北京市朝阳区望京东路1号1层101内1A025";"股份有限公司（港澳台投资、上市）";"2013-08-16 00:00:00";2013.0;"北京市";"北京市";"朝阳区";"软件和信息技术服务业";"233";"大于等于1百，小于5百";"25897.3147万元人民币";"一亿（含）至五十亿";"存续";"北京格灵深瞳信息技术有限公司";"北京市海淀区永泰庄北路天地邻枫创新产业园1号楼B栋";"911101050741151774";"110000450240230";"07411517-7";"格灵深瞳是一家行业领先的人工智能公司，是国内计算机视觉行业和算法技术的早期探索者和实践者，专注于将先进的计算机视觉技术和大数据分析技术与应用场景深度融合，提供面向城市管理、智慧金融、商业零售、体育健康、轨交运维等领域的人工智能产品及解决方案。公司凭借过硬的技术能力和长期的商业化经验，已成功在城市管理、智慧金融、商业零售三大领域实现成熟的落地应用，同时在体育健康、轨交运维等更多领域进行了前瞻性的布局。未来公司将继续深入行业应用场景，为各行业深度赋能。";"计算机软硬件及网络技术开发;技术咨询;技术服务;转让自有技术;应用软件服务;基础软件服务;计算机系统集成;集成电路设计;电子设备、新型电子元器件;图形图像识别和处理系统开发;销售自行开发的产品;批发机械设备、电子产品、五金交电、计算机、软件及辅助设备;批发、零售社会公共安全设备及器材;产品设计;货物进出口、技术进出口、代理进出口（涉及配额许可证管理、专项规定管理的商品按照国家有关规定办理）;计算机整机制造;计算机零部件制造;计算机外围设备制造;通信终端设备制造;智能车载设备制造;工业控制计算机及系统制造;智能无人飞行器制造;服务消费机器人制造;工业机器人制造;特殊作业机器人制造。（市场主体依法自主选择经营项目,开展经营活动;依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动;不得从事国家和本市产业政策禁止和限制类项目的经营活动。）";"是";"科创板";"格灵深瞳";"688207";"AI开发平台；数据智能平台；边缘计算平台；巡检机器人；智能飞行负载系统"
"北京海兰信数据科技股份有限公司";"北京市海淀区地锦路7号院10号楼5层501";"股份有限公司（上市、自然人投资或控股）";"2001-02-14 00:00:00";2001.0;"北京市";"北京市";"海淀区";"计算机、通信和其他电子设备制造业";"106";"大于等于1百，小于5百";"72332.9103万元人民币";"一亿（含）至五十亿";"存续";"-";"北京市海淀区地锦路7号院10号楼5层501";"91110000802062000J";"110108001945979";"80206200-0";"北京海兰信数据科技股份有限公司（以下简称:海兰信）于2001年注册成立,2004年成为海军装备供应商,2010年3月在深圳证券交易所创业板上市,拥有齐全的军工资质,是国家专精特新小巨人企业。公司主要股东为创始人团队、海南国资及其他社会资本,无任何外资、外籍背景。公司成立二十余年来,一直在海洋高科技领域深耕,以海洋强国战略为引领,积极响应国家经略海洋、科技兴海号召,坚守“探索海洋、献身国防”的使命,致力于成为“全球智能航海引领者,智慧海洋中国创新实践者”。海兰信曾先后入选福布斯2018中国最具潜力企业榜单、中国上市公司协会军工委员会国防军工板块榜单。2021年公司总人数700余人,产值近10亿元。公司高度重视自主研发及创新,截至目前,公司在雷达、智能航海及智慧海洋领域形成了一系列核心自主可控的关键技术,已获得专利108项,受理中67项。2021年公司荣获国家科学技术进步二等奖。源于公司在海洋科技领域的实力,2022年公司及下属子公司被美国商务部列入实体名单。以自有关键技术为依托,公司主营业务主要包括:1、智能航海:为船舶提供综合导航装备及智能航行系统;2、海洋重大装备:构建海洋立体观测网的核心设备――海底接驳站,常压潜水系统（普通人穿上该潜水服可以下潜600米）、海洋仪器等;3、近海雷达观测网:公司投资建设了300个目标雷达站,覆盖中国整个近海30海里海域（从海南一直到辽宁）,服务近海防务与维权执法。公司建设了近100座地波雷达站,观测100海里范围的海浪、流场及风场等,服务海洋预报及海洋环境等;4、海底数据中心（UDC）:公司是继微软之后的第二家具备海底数据中心的全套技术与实施能力的企业,首个项目将在海南省陵水落地,预计年内第一期数据舱下海,舱内可容纳近800个服务器,在海南与陆地数据中心相比,节能50%,且省地、省水,数据更安全。";"技术开发、转让、咨询、服务、培训;生产船舶电子集成系统;船舶智能化系统、雷达系统及其信息应用、海洋信息化系统、海洋自动化观探测设备、海洋工程装备、无人船（艇）及其控制系统、专用装置的产品样机制造（含中试、研发、设计、营销、财务、技术服务、总部管理）;生产制造船舶智能化系统、雷达系统及其信息应用、海洋信息化系统、海洋自动化观探测设备、海洋工程装备、无人船（艇）及其控制系统、专用装置（限分支机构经营）;销售开发后的产品、通信设备、五金交电、船舶电子设备、机械设备;经营本企业自产产品的出口业务和本企业所需的机械设备、零配件、原辅材料的进口业务,但国家限定公司经营或禁止进出口的商品及技术除外;维修机械设备。（市场主体依法自主选择经营项目,开展经营活动;依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动;不得从事国家和本市产业政策禁止和限制类项目的经营活动。）";"是";"A股";"海兰信";"300065.SZ";"智慧海洋产品；航海产品"
"北京合众思壮科技股份有限公司";"北京市海淀区知春路118号知春大厦1501室";"股份有限公司（上市、自然人投资或控股）";"1998-09-30 00:00:00";1998.0;"北京市";"北京市";"海淀区";"计算机、通信和其他电子设备制造业";"62";"1百以下";"74036.0305万元人民币";"一亿（含）至五十亿";"存续";"-";"北京市北京经济技术开发区科创十二街8号院1号楼13层";"91110000700145956E";"110000004566467";"70014595-6";"北京合众思壮科技股份有限公司（股票代码:002383SZ）创立于1994年,是国内较早进入卫星导航定位领域的公司之一。以“成为时空信息领域全球领先的高精度专业产品与服务提供商”为企业愿景,合众思壮专注时空信息领域,构建中国PNT新时空基准,发布了位置服务平台“中国位置”、广域差分增强服务“中国精度”和高精度时间同步应用系统“中国时间”。伴随中国卫星导航产业起步发展,合众思壮连续20余年快速发展,技术储备深厚、产业布局完备,实现了全产业链布局,拥有了从高精度核心技术、板卡部件、终端设备、解决方案到服务平台的全产业链产品与服务。合众思壮以丰富的应用经验,实现卫星导航在多种行业的应用,开拓了大量中国时空信息的应用,始终见证、推动中国卫星导航定位市场的发展,合众思壮已形成全球化业务布局和服务能力,以全球化视野进行全球资源配置,构建了以中国、美国、加拿大、意大利在内的国内、外产品研发生产与营销架构体系,业务遍布全球的100多个国家和地区。";"技术开发;技术推广;技术转让;技术咨询;技术服务;卫星导航技术培训;销售机械设备、五金交电、计算机、软件及辅助设备、电子产品、通讯设备、卫星导航产品及辅助设备;工程和技术研究与试验发展;维修仪器仪表;出租办公用房;会议服务;承办展览展示活动;计算机系统服务;货物进出口、技术进出口;软件开发。（市场主体依法自主选择经营项目,开展经营活动;依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动;不得从事国家和本市产业政策禁止和限制类项目的经营活动。）";"是";"A股";"合众思壮";"002383";"先进部件；机械控制；高精度仪器；移动手持终端；精准农业；时空数据"
"北京华力创通科技股份有限公司";"北京市海淀区东北旺西路8号院乙18号楼";"股份有限公司（上市、自然人投资或控股）";"2001-06-01 00:00:00";2001.0;"北京市";"北京市";"海淀区";"计算机、通信和其他电子设备制造业";"423";"大于等于1百，小于5百";"66267.5236万元人民币";"一亿（含）至五十亿";"存续";"北京华力创通科技有限公司";"北京市海淀区东北旺西路8号院乙18号楼";"91110000802098193D";"110108002730730";"80209819-3";"北京华力创通科技股份有限公司（简称“华力创通”），是注册于中关村科技园区的高新技术和“双软”认证企业。公司于2010年1月在深圳证券交易所正式挂牌上市，股票代码：300045。公司拥有卫星导航、信号处理、仿真测试和天线技术四个产品部及控股子公司“北京华力天星科技有限公司”。专注于从事卫星导航、雷达、卫星通信；飞机、兵器等复杂机电行业的嵌入式系统；军队信息化建设和仿真模拟训练等技术和产品的研发、生产和销售业务。公司主要产品包括北斗卫星导航芯片和用户机、应用模块及配套模拟测试设备；导航和通讯天线；雷达和通信系统嵌入式模块、模拟测试设备；复杂机电系统的计算机仿真测试平台；计算机仿真应用开发服务等。应用领域涉及航空、航天、兵器、国防电子、核工业等军队及国防工业和能源、电力、汽车、高速列车、通信设备等民用高科技行业。公司一贯重视自主技术创新，已经形成了“以自主创新求成长，以成长促自主创新”的业务发展模式。公司在研发机构设立、研发队伍建设、研发资金投入等多方面建立了保持技术创新的长效机制，为公司具备持续技术创新能力提供了坚固的保障。经过长期的发展和积累，公司在卫星导航仿真测试、卫星导航芯片和接收机开发、导航和通讯天线开发、半实物仿真测试、射频仿真测试、仿真应用开发服务等方向和应用领域积累了雄厚的核心技术和研发能力，公司对研发成果具有完全的自主知识产权!公司通过坚持自主技术创新战略、坚持“通用产品+定制服务”的产品开发策略。";"橡胶、特种车辆、电子信息系统和产品技术开发;技术推广;技术转让;技术咨询;技术服务;技术培训;技术中介服务;货物进出口;技术进出口;代理进出口;研发和委托加工卫星导航和卫星移动通信设备、惯性导航设备、农机自动驾驶仪、仪器仪表、光纤通道设备、红外热成像仪器、光学仪器设备、光电设备及电子产品;销售自产产品、计算机、软件及辅助设备、卫星导航和卫星移动通信设备、惯性导航设备、农机自动驾驶仪、仪器仪表、光纤通道设备、红外热成像仪器、光学仪器设备、光电设备、电子产品、电子元器件、通讯设备、无人机及零配件、机械设备;计算机系统集成;应用软件服务;出租办公用房;会议服务;承办展览展示活动;委托加工雷达及配套设备;信息系统集成服务;机动车维修;通讯设备维修;航空航天器制造;通信系统设备制造;通信终端设备制造;雷达及配套设备制造;智能无人飞行器制造;电子元件制造;电子设备制造;导航、测绘、气象及海洋专用仪器制造;电气设备修理;集成电路制造;建筑劳务分包;房屋建筑和市政基础设施项目工程总承包;建筑智能化工程施工。（市场主体依法自主选择经营项目,开展经营活动;房屋建筑和市政基础设施项目工程总承包、建筑智能化工程施工、建筑劳务分包以及依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动;不得从事国家和本市产业政策禁止和限制类项目的经营活动。）";"是";"A股
";"华力创通";"300045.SZ";"卫星应用；雷达信号处理；仿真测试；无人系统"
"北京安怀信科技股份有限公司";"北京市石景山区实兴大街30号院3号楼八层8112房间";"股份有限公司（非上市、自然人投资或控股）";"2012-08-22 00:00:00";2012.0;"北京市";"北京市";"石景山区";"科技推广和应用服务业";"60";"1百以下";"1378.8396万人民币";"一千万（含）至五千万";"存续";"北京安怀信科技有限公司";"北京市朝阳区东亿传媒产业园C12号楼6层";"91110107053624001L";"05362400-1";"05362400-1";"北京安怀信科技股份有限公司 （曾用名：北京安怀信科技有限公司） ，成立于2012年，位于北京市，是一家以从事科技推广和应用服务业为主的企业。企业注册资本1378.8396万人民币，超过了92%的北京市同行，实缴资本1378.8396万人民币，并已于2021年完成了A轮。";"技术开发、技术服务、技术咨询、技术转让；计算机系统服务；数据处理；基础软件服务；应用软件服务；货物进出口、技术进出口、代理进出口；销售计算机、软件及辅助设备；计算机系统服务。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）";"否";"-";"安怀信";"-";"协同管控平台；设计工艺性检查工具；产品分析"
"北京北斗星通导航技术股份有限公司";"北京市海淀区丰贤东路7号北斗星通大厦南楼二层";"其他股份有限公司（上市）";"2000-09-25 00:00:00";2000.0;"北京市";"北京市";"海淀区";"研究和试验发展";"421";"大于等于1百，小于5百";"54353.2558万人民币";"一亿（含）至五十亿";"存续";"-";"北京市海淀区丰贤东路7号";"91110000802017541K";"80201754-1";"80201754-1";"北京北斗星通导航技术股份有限公司，成立于2000年，北斗星通成员，位于北京市，是一家以从事研究和试验发展为主的企业。企业注册资本54353.2558万人民币，超过了99%的北京市同行，并已于2023年完成了定向增发，交易金额9.31亿人民币。";"开发导航定位应用系统及软硬件产品、基于位置的信息系统、地理信息系统和产品、遥感信息系统和产品、通信系统和产品、计算机软硬件系统和产品、自动控制系统和产品、组合导航系统和产品；生产和销售开发后的产品；基于位置的信息系统的系统集成、施工、技术服务；货物进出口、技术进出口、代理进出口；技术检测；技术开发；出租办公用房；出租商业用房；物业管理。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）";"是";"A股
";"北斗星通";"002151";"芯片与数据服务；导航定位产品；微波陶瓷器件"
"北京壁仞科技开发有限公司";"北京市朝阳区望京东园四区13号楼-4至33层101内10层201室";"有限责任公司（外商投资企业法人独资）";"2020-09-23 00:00:00";2020.0;"北京市";"北京市";"朝阳区";"软件和信息技术服务业";"57";"1百以下";"5000万人民币";"五千万（含）至一亿";"存续";"-";"北京市朝阳区望京东园四区13号楼―4至33层101 内9层201室";"91110108MA01W6Q04M";"MA01W6Q0-4";"MA01W6Q0-4";"北京壁仞科技开发有限公司，成立于2020年，位于北京市，是一家以从事软件和信息技术服务业为主的企业。企业注册资本5000万人民币，超过了92%的北京市同行，实缴资本5000万人民币。";"一般项目：软件开发；计算机系统服务；网络技术服务；信息技术咨询服务；信息系统集成服务；智能控制系统集成；集成电路设计；集成电路芯片设计及服务；集成电路芯片及产品销售；物联网技术服务；人工智能公共服务平台技术咨询服务；人工智能行业应用系统集成服务；人工智能基础资源与技术平台；软件销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；科技中介服务；信息咨询服务（不含许可类信息咨询服务）；货物进出口；技术进出口。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）";"否";"-";"北京壁仞";"-";"GPU芯片；软件开发平台"
"北京雷科防务科技股份有限公司";"北京市海淀区西三环北路甲2号院5号楼6层19室";"其他股份有限公司（上市）";"2002-12-11 00:00:00";2002.0;"北京市";"北京市";"海淀区";"计算机、通信和其他电子设备制造业";"2";"10以下";"131698.9628万人民币";"一亿（含）至五十亿";"存续";"江苏常发制冷股份有限公司，江苏雷科防务科技股份有限公司";"北京市海淀区远大南街鲁迅文化园5号楼3层";"91320400745550891Q";"74555089-1";"74555089-1";"北京雷科防务科技股份有限公司 （曾用名：江苏雷科防务科技股份有限公司） ，成立于2002年，雷科防务成员，位于北京市，是一家以从事计算机、通信和其他电子设备制造业为主的企业。企业注册资本131698.9628万人民币，超过了98%的北京市同行，实缴资本6500万人民币，并已于2019年完成了股权融资。";"一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；雷达及配套设备制造；工业控制计算机及系统制造；工业控制计算机及系统销售；电子测量仪器制造；电子测量仪器销售；计算机软硬件及外围设备制造；计算机系统服务；企业管理；进出口代理；技术进出口；货物进出口；智能家庭消费设备制造；智能家庭消费设备销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）";"是";"A股";"雷科防务";"002413";"雷达系统；智能控制；卫星应用；安全存储；智能网联"
"北京摩诘创新科技股份有限公司";"北京市海淀区宝盛南路1号院14号楼1层101房间";"股份有限公司（非上市、自然人投资或控股）";"2006-08-04 00:00:00";2006.0;"北京市";"北京市";"海淀区";"科技推广和应用服务业";"134";"大于等于1百，小于5百";"9912.6048万人民币";"五千万（含）至一亿";"存续";"北京摩诘创新科技有限公司";"北京市丰台区五圈南路海格通信产业园科研楼A座3层";"911101087921081158";"79210811-5";"79210811-5";"北京摩诘创新科技股份有限公司 （曾用名：北京摩诘创新科技有限公司） ，成立于2006年，广州数字科技集团成员，位于北京市，是一家以从事科技推广和应用服务业为主的企业。企业注册资本9912.6048万人民币，超过了98%的北京市同行，实缴资本9912.6048万人民币，并已于2020年完成了定向增发。";"一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机系统服务；信息系统集成服务；信息系统运行维护服务；专业设计服务；工业设计服务；工业工程设计服务；数字内容制作服务（不含出版发行）；工程和技术研究和试验发展；软件开发；工业机器人制造；工业自动控制系统装置制造；试验机制造；游艺用品及室内游艺器材制造；普通露天游乐场所游乐设备制造（不含大型游乐设施）；智能无人飞行器制造；可穿戴智能设备制造；虚拟现实设备制造；电动机制造；电子产品销售；工业控制计算机及系统销售；可穿戴智能设备销售；工业机器人销售；仪器仪表修理；电气设备修理；专用设备修理；体育竞赛组织；货物进出口；技术进出口；进出口代理。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：民用航空器零部件设计和生产；通用航空服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）";"是";"A股";"摩诘创新";"836008";"飞行模拟器；机务模拟器；国防车辆模拟器；电动运动平台；视景系统"
"北京瑞达康科技有限公司";"北京市海淀区清河小营路后屯村东院内综合楼三层301室";"有限责任公司（自然人投资或控股）";"2011-03-02 00:00:00";2011.0;"北京市";"北京市";"海淀区";"科技推广和应用服务业";"2";"10以下";"50万人民币";"一百万以下";"存续";"-";"北京市海淀区清河小营后屯村东升锅炉厂内综合楼3层";"911101085694647077";"56946470-7";"56946470-7";"北京瑞达康科技有限公司，成立于2011年，位于北京市，是一家以从事科技推广和应用服务业为主的企业。企业注册资本50万人民币，超过了18%的北京市同行，实缴资本50万人民币。";"生产开关电源；技术开发、技术转让、技术咨询、技术服务；销售电子产品、器件和元件、五金、交电、家用电器、计算机、软件及辅助设备、通讯设备。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）";"否";"-";"瑞达康";"-";"模块电源"
